CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, used, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.02660168893635273" 
1, used, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.019277775660157204" 
1, used, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.025026848539710045" 
1, used, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.031157393008470535" 
1, used, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.050466250628232956" 
1, used, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.054390016943216324" 
1, used, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.19255287945270538" 
1, used, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.038357120007276535" 
1, used, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.014350496232509613" 
1, used, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.013300844468176365" 
1, used, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.0096388878300786018" 
1, used, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.012513424269855022" 
1, used, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.015578696504235268" 
1, used, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.025233125314116478" 
1, used, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.027195008471608162" 
1, used, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.663348*((1.+(0.0988932*x))/(1.+(0.0638898*x))))+0.096276439726352692" 
2, used, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x)))" 
2, used, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x)))" 
2, used, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.066165156662464142" 
2, used, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.040238022804260254" 
2, used, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.04072323814034462" 
2, used, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.027357732877135277" 
2, used, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.032624933868646622" 
2, used, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.037623215466737747" 
2, used, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.058916255831718445" 
2, used, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.065407834947109222" 
2, used, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.52397990226745605" 
2, used, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.033082578331232071" 
2, used, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.020119011402130127" 
2, used, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.02036161907017231" 
2, used, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.013678866438567638" 
2, used, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.016312466934323311" 
2, used, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.018811607733368874" 
2, used, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.029458127915859222" 
2, used, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.032703917473554611" 
2, used, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))-0.26198995113372803" 
2, used, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.066165156662464142" 
2, used, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.040238022804260254" 
2, used, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.04072323814034462" 
2, used, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.027357732877135277" 
2, used, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.032624933868646622" 
2, used, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.037623215466737747" 
2, used, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.058916255831718445" 
2, used, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.065407834947109222" 
2, used, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.52397990226745605" 
2, used, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.033082578331232071" 
2, used, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.020119011402130127" 
2, used, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.02036161907017231" 
2, used, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.013678866438567638" 
2, used, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.016312466934323311" 
2, used, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.018811607733368874" 
2, used, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.029458127915859222" 
2, used, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.032703917473554611" 
2, used, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.857751*((1.+(0.0128625*x))/(1.+(0.0107208*x))))+0.26198995113372803" 
0, used, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.13904+-0.000594946*x+1.97303e-06*x*x+-1.38194e-09*x*x*x" 
0, used, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13904+-0.000594946*x+1.97303e-06*x*x+-1.38194e-09*x*x*x)*(1-(0.069661+7.95562e-05*x+-5.19951e-08*x*x))" 
0, used, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13904+-0.000594946*x+1.97303e-06*x*x+-1.38194e-09*x*x*x)*(1-(0.0421495+3.37955e-05*x+-5.0031e-08*x*x))" 
0, used, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13904+-0.000594946*x+1.97303e-06*x*x+-1.38194e-09*x*x*x)*(1-(0.0765485))" 
0, used, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13904+-0.000594946*x+1.97303e-06*x*x+-1.38194e-09*x*x*x)*(1+(0.069661+7.95562e-05*x+-5.19951e-08*x*x))" 
0, used, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13904+-0.000594946*x+1.97303e-06*x*x+-1.38194e-09*x*x*x)*(1+(0.0421495+3.37955e-05*x+-5.0031e-08*x*x))" 
0, used, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.13904+-0.000594946*x+1.97303e-06*x*x+-1.38194e-09*x*x*x)*(1+(0.0765485))" 
1, used, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.0589+0.000382569*x+-2.4252e-07*x*x+2.20966e-10*x*x*x" 
1, used, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.0589+0.000382569*x+-2.4252e-07*x*x+2.20966e-10*x*x*x)*(1-(0.104457+0.000312077*x+-1.68976e-07*x*x))" 
1, used, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.0589+0.000382569*x+-2.4252e-07*x*x+2.20966e-10*x*x*x)*(1-(0.0533045+8.57394e-05*x+-8.66979e-08*x*x))" 
1, used, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.0589+0.000382569*x+-2.4252e-07*x*x+2.20966e-10*x*x*x)*(1-(0.175665))" 
1, used, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.0589+0.000382569*x+-2.4252e-07*x*x+2.20966e-10*x*x*x)*(1+(0.104457+0.000312077*x+-1.68976e-07*x*x))" 
1, used, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.0589+0.000382569*x+-2.4252e-07*x*x+2.20966e-10*x*x*x)*(1+(0.0533045+8.57394e-05*x+-8.66979e-08*x*x))" 
1, used, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.0589+0.000382569*x+-2.4252e-07*x*x+2.20966e-10*x*x*x)*(1+(0.175665))" 
2, used, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.971945+163.215/(x*x)+0.000517836*x" 
2, used, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.971945+163.215/(x*x)+0.000517836*x)*(1-(0.310175+-0.000261463*x+5.62615e-07*x*x))" 
2, used, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.971945+163.215/(x*x)+0.000517836*x)*(1-(0.166533+-0.00012167*x+7.63839e-08*x*x))" 
2, used, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.971945+163.215/(x*x)+0.000517836*x)*(1-(0.314118))" 
2, used, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.971945+163.215/(x*x)+0.000517836*x)*(1+(0.310175+-0.000261463*x+5.62615e-07*x*x))" 
2, used, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.971945+163.215/(x*x)+0.000517836*x)*(1+(0.166533+-0.00012167*x+7.63839e-08*x*x))" 
2, used, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.971945+163.215/(x*x)+0.000517836*x)*(1+(0.314118))" 
